region,soil_type,temperature,rainfall,seed_variety,fertilizer_amount,pesticide_use,farmer_experience,land_size,planting_date,previous_crop,irrigation,yield
Northern,clay,23.1,882.8,OPV,114.1,1,16,3.2,early,maize,0,3.08
Southern,clay,19.3,934.6,local,92.3,0,27,4.38,normal,none,1,2.94
Southern,loam,30.8,895.6,hybrid,30.3,0,23,4.41,normal,groundnuts,0,2.93
Northern,loam,19.9,770.8,local,104.7,0,10,3.76,late,maize,1,3.39
Central,loam,31.3,703.8,hybrid,187.8,0,10,3.86,normal,groundnuts,1,4.43
Northern,clay,24.2,1090.7,OPV,17.8,0,27,3.01,early,maize,1,2.35
Central,clay,20.6,815.3,OPV,20.0,1,2,3.13,early,groundnuts,0,1.47
Southern,clay,25.6,783.3,OPV,88.7,1,30,1.1,early,soybean,0,3.31
Central,clay,30.2,420.5,hybrid,235.4,1,9,2.5,normal,soybean,1,4.94
Central,clay,28.3,673.0,local,167.1,0,17,2.53,early,none,1,3.61
Central,clay,29.3,704.2,local,169.7,1,11,4.81,normal,soybean,0,3.15
Southern,clay,27.2,719.1,local,90.5,0,10,2.44,early,groundnuts,0,2.25
Southern,loam,27.7,864.1,hybrid,148.4,0,22,2.97,early,groundnuts,0,4.76
Central,loam,29.9,826.9,hybrid,2.5,1,25,2.9,normal,soybean,1,3.31
Central,loam,21.5,886.3,hybrid,159.0,1,17,3.37,early,none,0,4.77
Northern,loam,24.9,1011.9,hybrid,228.3,0,4,3.87,late,soybean,1,4.8
Central,clay,21.1,1050.4,hybrid,153.1,0,16,1.51,normal,maize,0,4.11
Northern,sandy,31.8,974.5,local,218.4,1,20,2.88,normal,maize,1,4.42
Central,clay,31.2,1164.4,hybrid,181.0,1,15,4.22,normal,maize,1,4.74
Northern,sandy,18.6,414.6,hybrid,30.1,1,25,2.58,late,soybean,1,2.63
Southern,loam,27.9,556.6,local,225.6,1,27,1.75,normal,soybean,0,4.92
Central,clay,31.0,406.1,hybrid,16.6,0,21,3.45,early,soybean,0,2.71
Central,loam,20.5,918.0,local,133.5,1,5,4.21,early,maize,0,3.49
Central,clay,26.0,1118.4,local,35.5,1,6,0.78,early,none,1,2.13
Central,loam,30.8,594.8,OPV,2.9,1,17,4.0,normal,groundnuts,1,2.87
Northern,sandy,18.5,1141.6,OPV,105.5,0,1,4.2,early,soybean,0,2.64
Central,sandy,27.8,448.2,OPV,73.8,0,25,2.58,normal,none,1,2.64
Southern,sandy,22.2,1147.5,OPV,121.5,0,19,4.92,early,groundnuts,1,2.99
Southern,clay,30.9,681.3,hybrid,144.3,0,4,4.04,late,groundnuts,1,3.31
Central,sandy,31.6,481.1,OPV,10.9,1,17,3.98,late,groundnuts,0,1.32
Southern,clay,31.2,788.7,local,30.8,0,9,3.87,late,none,1,1.62
Central,sandy,24.6,605.4,hybrid,139.7,1,24,1.18,late,none,0,3.67
Central,sandy,30.1,627.9,OPV,85.8,1,2,1.48,normal,maize,0,2.18
Southern,clay,29.8,645.8,local,182.3,1,8,2.59,early,none,0,3.69
Central,clay,22.5,1042.4,hybrid,163.1,1,15,1.69,late,none,0,3.99
Southern,sandy,29.6,831.3,hybrid,211.4,0,7,2.37,normal,none,0,3.56
Northern,clay,18.5,649.0,OPV,173.1,0,27,4.5,late,groundnuts,1,4.27
Central,sandy,26.3,888.3,hybrid,107.5,0,6,4.21,late,soybean,0,3.14
Northern,clay,21.2,972.9,local,168.2,1,1,3.34,normal,maize,0,2.95
Southern,loam,19.7,618.1,hybrid,68.8,1,15,4.36,normal,soybean,0,3.86
Northern,loam,19.1,730.8,local,76.6,1,23,4.03,early,soybean,1,3.22
Northern,loam,27.7,497.5,hybrid,197.2,1,26,2.43,early,none,1,5.47
Southern,loam,22.8,544.9,OPV,111.6,1,7,1.4,late,maize,1,3.23
Northern,loam,28.1,944.9,local,199.6,0,29,2.81,late,soybean,1,4.04
Northern,sandy,18.9,545.2,hybrid,205.6,1,30,3.81,early,soybean,0,4.49
Southern,loam,22.4,820.1,hybrid,214.4,0,25,2.46,early,maize,0,5.31
Northern,loam,25.6,967.2,hybrid,229.2,1,17,3.5,normal,none,1,5.46
Southern,loam,29.1,485.5,local,107.7,1,2,0.92,early,soybean,1,3.01
Northern,loam,22.5,853.8,local,79.7,0,27,3.87,early,groundnuts,1,3.42
Southern,clay,26.8,605.3,local,145.5,0,9,4.16,late,soybean,1,3.22
Southern,sandy,30.4,1170.3,OPV,92.8,1,29,3.68,early,groundnuts,0,3.04
Northern,loam,26.6,786.8,OPV,150.3,1,9,4.85,late,none,1,4.09
Northern,loam,21.3,1044.8,local,176.4,1,13,4.22,early,soybean,1,4.07
Northern,loam,18.3,840.2,hybrid,172.1,1,6,4.56,normal,maize,1,5.14
Central,sandy,30.2,434.7,OPV,93.6,0,6,4.7,early,maize,1,2.4
Central,clay,18.3,906.5,local,41.7,1,20,4.11,early,soybean,1,2.71
Central,sandy,30.2,1161.1,hybrid,107.6,0,20,3.53,early,none,1,3.93
Southern,clay,25.4,881.3,OPV,35.6,1,21,0.53,late,none,1,2.77
Northern,loam,31.1,1055.4,hybrid,222.5,0,3,2.6,normal,maize,0,4.92
Southern,loam,29.2,1107.4,hybrid,86.5,0,17,3.07,early,soybean,0,3.75
Central,sandy,32.0,582.5,hybrid,38.6,1,17,1.87,late,none,0,2.79
Northern,sandy,22.9,569.6,hybrid,6.4,0,12,1.93,normal,maize,0,1.78
Southern,clay,28.7,888.8,OPV,161.5,1,16,4.83,late,groundnuts,0,3.29
Northern,clay,23.6,728.8,OPV,159.2,0,15,4.51,late,soybean,0,3.37
Southern,sandy,24.7,1071.9,OPV,85.2,1,13,4.32,normal,groundnuts,1,3.23
Northern,clay,26.8,1120.0,local,17.9,0,23,2.33,early,groundnuts,1,2.45
Central,sandy,30.2,682.7,OPV,102.4,1,1,0.56,late,none,0,2.1
Central,clay,31.8,589.5,hybrid,77.8,1,17,0.86,late,none,1,3.27
Northern,sandy,28.8,1024.4,OPV,169.3,0,3,1.9,early,none,0,3.07
Southern,sandy,23.8,619.8,hybrid,151.4,0,26,0.57,early,soybean,1,3.92
Central,sandy,23.9,1058.1,local,91.1,0,15,0.58,normal,groundnuts,1,2.9
Central,clay,28.3,739.0,hybrid,54.5,0,4,4.62,normal,soybean,1,2.61
Central,clay,21.3,934.0,hybrid,247.0,1,4,3.68,normal,none,1,5.48
Northern,clay,19.5,476.4,hybrid,113.5,0,18,1.89,early,groundnuts,1,4.14
Northern,sandy,23.0,899.1,local,172.1,1,17,1.1,late,soybean,1,3.64
Southern,clay,22.0,761.4,OPV,35.1,0,19,2.8,late,soybean,0,2.19
Southern,clay,22.1,869.3,OPV,121.4,1,11,0.52,normal,maize,0,3.24
Southern,sandy,21.3,534.4,local,6.9,1,20,4.72,early,soybean,1,1.49
Northern,loam,18.6,989.5,hybrid,126.4,1,3,2.37,late,none,0,3.72
Northern,sandy,18.3,1090.2,OPV,241.0,1,8,2.31,normal,soybean,1,4.47
Southern,clay,31.8,573.4,local,96.1,0,14,2.26,late,groundnuts,0,2.93
Southern,sandy,24.0,476.6,OPV,9.7,0,26,0.81,late,soybean,1,1.78
Northern,loam,23.4,418.9,local,7.7,1,1,3.37,early,maize,0,2.04
Southern,sandy,27.5,913.6,hybrid,97.0,0,14,3.8,early,groundnuts,1,3.3
Central,clay,21.1,885.7,OPV,40.0,0,2,3.54,late,groundnuts,0,1.62
Northern,loam,31.3,837.4,local,5.8,1,29,1.12,normal,maize,1,3.07
Southern,clay,29.0,585.6,OPV,189.1,0,23,3.1,early,none,0,3.93
Northern,loam,19.3,712.7,OPV,114.6,0,4,3.06,late,groundnuts,1,3.47
Central,loam,23.8,875.6,OPV,72.3,0,24,4.41,early,none,1,3.57
Northern,sandy,30.3,797.4,OPV,225.0,1,27,2.21,early,groundnuts,1,4.3
Northern,sandy,31.2,1190.2,local,29.0,0,29,2.17,early,groundnuts,0,2.07
Northern,clay,24.5,509.2,hybrid,239.0,1,19,3.28,late,none,0,4.76
Northern,sandy,26.6,956.1,local,78.5,0,6,3.35,normal,groundnuts,0,1.99
Central,sandy,20.3,723.5,local,222.1,0,25,2.61,normal,none,1,3.9
Northern,loam,31.9,742.6,local,150.7,0,1,2.49,normal,maize,0,3.62
Northern,sandy,21.2,974.1,hybrid,206.7,1,17,2.72,early,none,1,5.05
Southern,loam,31.2,953.9,OPV,246.0,1,8,4.37,late,maize,0,4.81
Northern,loam,27.1,1193.0,OPV,72.1,0,19,2.58,early,groundnuts,0,3.7
Southern,loam,26.5,502.7,OPV,240.3,1,21,4.73,normal,none,0,4.76
Central,clay,25.2,483.3,hybrid,97.4,0,1,2.77,normal,groundnuts,0,3.24
Central,clay,21.2,979.5,OPV,96.4,1,5,4.77,late,none,1,2.58
Central,clay,20.5,862.7,hybrid,85.1,1,27,4.25,early,maize,0,3.2
Central,loam,21.1,619.3,OPV,135.4,0,16,2.13,normal,maize,0,3.75
Southern,clay,20.6,463.5,OPV,38.5,0,6,4.39,late,none,1,2.66
Northern,clay,28.9,468.5,local,138.4,0,8,1.0,early,maize,1,3.53
Central,sandy,22.9,1115.4,hybrid,135.4,0,13,4.66,early,groundnuts,0,3.59
Northern,clay,18.8,553.5,local,190.5,1,16,3.34,normal,groundnuts,0,3.32
Southern,clay,31.6,658.7,local,208.4,1,30,0.74,normal,soybean,1,4.38
Southern,loam,30.4,581.3,local,110.1,1,3,3.4,early,maize,1,3.5
Southern,loam,31.0,684.0,hybrid,75.6,0,19,4.88,early,groundnuts,1,4.09
Central,loam,31.9,455.5,hybrid,64.8,0,12,0.81,normal,none,0,3.03
Northern,loam,20.4,815.2,OPV,48.7,1,16,3.0,early,maize,0,2.89
Northern,loam,23.5,454.1,local,14.4,0,27,3.87,normal,groundnuts,0,2.66
Northern,loam,28.6,1040.3,OPV,85.6,1,11,4.15,early,maize,1,3.79
Southern,clay,27.7,587.0,local,67.6,1,10,2.36,normal,none,1,1.97
Central,loam,20.2,832.0,hybrid,241.6,1,25,1.42,late,groundnuts,1,5.5
Southern,loam,29.4,1104.1,hybrid,139.4,1,20,0.69,normal,soybean,0,4.59
Southern,sandy,21.1,920.7,hybrid,86.8,1,4,3.11,normal,soybean,1,3.35
Northern,clay,21.1,826.4,local,145.1,0,12,2.54,late,maize,0,3.2
Southern,clay,25.5,659.5,hybrid,34.8,0,23,4.77,early,none,1,3.38
Northern,clay,26.3,666.4,local,111.0,0,2,0.77,late,groundnuts,0,2.21
Central,loam,26.1,935.6,OPV,156.6,1,24,3.58,normal,none,0,3.82
Northern,loam,19.3,1195.3,local,122.2,1,22,0.61,early,groundnuts,1,3.79
Central,loam,30.3,929.5,OPV,100.4,1,19,1.27,late,maize,0,3.83
Northern,sandy,21.7,846.2,local,248.5,1,25,2.54,early,groundnuts,1,4.85
Southern,loam,19.8,984.5,OPV,220.1,0,5,2.55,early,none,0,4.81
Southern,sandy,30.4,772.2,hybrid,155.9,0,8,3.59,late,none,1,3.75
Central,clay,31.4,448.1,OPV,142.3,1,7,4.6,early,maize,1,3.73
Central,loam,30.1,849.8,hybrid,155.2,1,14,3.38,late,none,0,4.22
Central,sandy,29.3,1166.1,hybrid,50.3,1,24,4.79,normal,groundnuts,1,3.09
Northern,sandy,27.2,540.2,OPV,98.8,0,23,4.47,early,maize,0,3.45
Northern,loam,25.7,952.0,local,9.9,0,3,3.13,normal,groundnuts,1,2.08
Central,clay,19.2,560.7,local,118.9,0,18,4.25,normal,none,1,3.73
Southern,clay,23.7,828.7,local,135.8,1,16,3.39,early,maize,1,3.33
Northern,clay,23.2,477.3,local,56.9,1,23,0.85,late,groundnuts,1,2.98
Northern,sandy,21.6,760.3,local,241.0,0,19,3.83,early,none,0,3.57
Northern,sandy,28.1,1004.9,hybrid,227.4,1,19,0.93,normal,none,1,4.98
Central,sandy,24.9,678.1,local,180.5,0,18,3.17,normal,soybean,1,3.34
Central,sandy,19.1,931.9,hybrid,133.3,1,20,3.66,late,none,0,3.06
Central,clay,21.1,1036.4,hybrid,217.5,0,16,0.8,early,groundnuts,0,4.76
Central,loam,27.6,1141.7,hybrid,32.7,1,8,1.54,normal,maize,0,3.54
Central,sandy,19.1,587.7,OPV,197.6,0,28,4.62,normal,soybean,0,3.78
Southern,sandy,29.9,719.5,OPV,31.2,0,1,3.27,normal,none,0,1.38
Southern,clay,24.9,521.9,hybrid,198.6,0,17,1.61,late,none,0,4.3
Central,loam,24.7,1194.0,OPV,68.9,0,12,3.61,normal,none,1,3.4
Northern,loam,26.3,1141.6,local,219.3,0,30,3.19,normal,groundnuts,0,4.96
Central,clay,29.5,832.0,local,236.0,0,21,2.76,early,soybean,1,4.76
Southern,clay,22.9,1073.6,hybrid,37.2,1,11,4.89,early,groundnuts,0,2.82
Southern,loam,27.5,816.8,local,115.7,1,5,3.58,normal,soybean,1,4.06
Northern,sandy,25.9,898.9,hybrid,245.2,1,27,2.19,normal,maize,1,5.21
Southern,loam,21.7,471.3,hybrid,120.9,0,12,4.1,early,groundnuts,1,4.25
Central,clay,30.3,1004.2,local,215.9,0,17,4.48,late,groundnuts,0,3.32
Northern,sandy,29.2,502.2,OPV,147.2,1,6,1.06,late,maize,0,2.86
Central,sandy,27.2,1060.9,local,93.8,0,1,1.4,late,soybean,0,1.86
Central,clay,29.9,1025.6,local,71.4,0,5,1.47,late,none,0,2.4
Northern,clay,30.1,967.0,hybrid,50.8,0,25,3.61,late,maize,1,3.35
Central,clay,27.9,428.9,hybrid,190.4,0,28,3.21,late,none,0,4.11
Southern,loam,29.7,642.5,hybrid,96.6,0,14,3.29,late,none,1,4.0
Central,loam,27.8,610.5,hybrid,127.8,1,5,4.73,late,maize,1,4.33
Northern,sandy,27.5,688.1,OPV,123.1,1,22,3.99,early,soybean,0,3.68
Northern,clay,26.7,470.1,OPV,144.3,1,24,1.08,late,none,0,3.84
Northern,sandy,28.5,1149.6,OPV,216.4,1,27,2.06,late,maize,0,4.28
Central,sandy,20.2,843.0,hybrid,245.2,1,1,2.46,late,groundnuts,1,4.44
Northern,sandy,30.3,644.4,hybrid,101.9,0,30,2.28,normal,groundnuts,0,3.64
Northern,sandy,30.2,717.6,hybrid,206.9,0,18,3.51,early,groundnuts,1,4.9
Central,clay,18.4,757.8,OPV,191.1,0,16,4.51,early,maize,0,3.63
Southern,sandy,29.6,880.5,hybrid,143.4,0,9,1.88,early,groundnuts,1,3.61
Central,clay,19.8,812.5,local,239.0,1,19,2.98,late,none,0,3.89
Northern,clay,22.7,1135.5,local,50.1,1,22,4.05,late,groundnuts,0,2.4
Northern,loam,28.4,797.6,hybrid,27.3,1,5,2.37,normal,groundnuts,1,3.69
Central,clay,20.3,1193.7,local,213.5,0,27,1.26,early,none,0,4.0
Southern,loam,29.5,1081.1,local,109.8,1,2,2.64,late,groundnuts,0,2.27
Northern,clay,29.6,566.8,OPV,211.7,0,30,0.75,early,none,0,4.39
Northern,clay,25.1,1144.5,hybrid,223.3,1,15,4.74,normal,groundnuts,0,5.06
Northern,clay,18.1,493.1,hybrid,15.6,1,7,0.84,normal,none,0,2.71
Central,loam,22.0,1054.0,OPV,220.9,0,4,2.47,normal,groundnuts,0,4.72
Northern,loam,26.6,704.5,local,112.1,0,1,2.88,early,none,0,3.06
Southern,sandy,31.7,1102.4,local,127.6,1,13,4.93,late,maize,1,2.4
